Школа,Область,Район,Дата заповнення анкети,"В Україні незаможні люди, зазвичай, є кращими, ніж люди із великими статками",Для вирішення проблеми корупції потрібно посадити всіх корупціонерів за грати,Запорукою успіху в житті є…?,Вчитись потрібно в першу чергу тому що…?,Якою мірою слід дозволяти переїжджати до України людям іншої раси чи національності,Хто така еліта?,Пропозиції «швидко розбагатіти в інтернеті» можуть бути дійсно хорошими,"За погану дорогу в селі, в першу чергу, несе відповідальність…",В Україні існує достатньо можливостей заробляти багато грошей чесним способом,Говорити про секс – соромно,Якщо щось пішло не так – у першу чергу потрібно знайти винних і покарати їх,Якщо щось пішло не так – у першу чергу треба знайти винних і покарати чи знайти збої в системі і причини помилки?,Який із запропонованих сценаріїв життя був би найбільш прийнятним для тебе?,Що ти думаєш про майбутнє України?,Кому ти найбільше довіряєш?,Наука – це щось нудне й далеке від практичного життя,Керівництво держави має отримувати заробітну плату не більше ніж середньостатистичний громадянин,"Якщо є людина, що курила і дожила до 100 років, то куріння не є таким шкідливим, як про це говорять","Для суспільства культура та мистецтво менш важливі, ніж деякі інші аспекти",Чи вважаєш ти себе щасливою людиною?,ЛГБТ-людей треба вилікувати чи виправити,"Бізнесмен - це той, хто забезпечує розвиток економіки і наполегливо працює задля досягнення успіху","Наскільки, на твій погляд, нинішня політична система в Україні дозволяє таким людям, як Ти, впливати на політику?",Помилятись – це погано і ознака поразки та неуспіху,"Мати хороше життя, народившись в селі, майже не реально",Ким ти себе перш за все вважаєш?,"Який основний мотив людей в Україні, які йдуть у політику чи на державну службу?",Для мене гідність залежить від мого успіху та визнання іншими,Вік,"З якими проблемами ти можеш звернутися до батьків або інших дорослих, які про тебе піклуються?","Чи вистачає тобі спілкування з батьками/іншими дорослими, які тебе опікають?",Стать
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",NA,Отримати атестат і диплом - це престижно в Україні,NA,"люди, які несуть за щось відповідальність перед іншими","Так, повністю погоджуюсь",NA,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Радше винних,NA,NA,"Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",NA,NA,"Так, скоріше погоджуюсь",15,Романтичні стосунки,"Так, повністю вистачає",хлопець
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,Важко відповісти,"Так, повністю погоджуюсь",Випадковість і везіння,Це дозволяє здобути нові знання та навички,Слід дозволяти деяким таким людям,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,Важко відповісти,"Ситуація не буде погіршуватись, але навряд чи і покращиться",Родичам,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Нещасливий,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",16,Проблеми в школі,"Так, скоріше вистачає",хлопець
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь",NA,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде покращуватись,Нікому,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем регіону (області чи кількох областей), де ти живеш",Задовольнити власні амбіції,Важко відповісти,14,"Проблеми зі здоров'ям (фізичне, психологічне)","Так, скоріше вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти деяким таким людям,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",NA,Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,Друзям,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Повністю дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Представником свого етносу, нації",Задовольнити власні амбіції,"Ні, повністю не погоджуюсь",NA,Конфлікти з членами родини,"Ні, скоріше  не вистачає",NA
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Випадковість і везіння,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти лише небагатьом таким людям,багаті люди,"Ні, скоріше не погоджуюсь",NA,"Ні, скоріше не погоджуюсь",Важко відповісти,"Ні, скоріше не погоджуюсь",Радше знайти збої,Важко відповісти,Скоріш за все ситуація буде покращуватись,Нікому,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Ні, скоріше не погоджуюсь",15,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Проблеми в школі']","Так, повністю вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти багатьом таким людям переїжджати до України,NA,NA,NA,NA,NA,NA,Рівнозначно,NA,NA,NA,NA,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",NA,Нещасливий,"Так, повністю погоджуюсь",NA,NA,NA,NA,Громадянином України,Задовольнити власні амбіції,NA,14,NA,NA,NA
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Радше винних,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться",Родичам,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином світу,Покращити життя в Україні для всіх громадян,"Ні, скоріше не погоджуюсь",16,"['Романтичні стосунки', 'Дружні стосунки', 'Проблеми в школі']",Важко відповісти,дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,NA,NA,Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Важко відповісти,"люди, які несуть за щось відповідальність перед іншими",NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином",Важко відповісти,Друзям,"Ні, скоріше не погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже щасливий,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Ні, скоріше не погоджуюсь",15,"['Конфлікти з членами родини', 'Дружні стосунки', 'Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Цькування в соцмережах']","Так, повністю вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Не дозволяти нікому,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Дуже нещасливий,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Покращити власне матеріальне становище або просто красти,"Так, повністю погоджуюсь",14,"['Дружні стосунки', 'Проблеми в школі', 'Конфлікти з членами родини', 'Шкідливі речовини', 'Цькування в соцмережах', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Романтичні стосунки']","Так, повністю вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти деяким таким людям,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, повністю погоджуюсь",14,"['Конфлікти з членами родини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Так, скоріше вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,топові політики,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Скоріш за все ситуація буде погіршуватись,Нікому,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем регіону (області чи кількох областей), де ти живеш",Покращити життя в Україні для всіх громадян,"Ні, повністю не погоджуюсь",NA,Важко відповісти,"Ні, скоріше  не вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Гарні зв’язки із впливовими людьми,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти деяким таким людям,багаті люди,"Так, скоріше погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Радше знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь",NA,Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Мешканцем регіону (області чи кількох областей), де ти живеш",Покращити життя в Україні для всіх громадян,"Так, повністю погоджуюсь",15,"Проблеми зі здоров'ям (фізичне, психологічне)","Так, скоріше вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,NA,багаті люди,"Ні, повністю не погоджуюсь",Кожен житель села особисто,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Щасливий,"Так, скоріше погоджуюсь",NA,Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Ні, повністю не погоджуюсь",16,Важко відповісти,NA,хлопець
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,Важко відповісти,Важко відповісти,Докладені зусилля при навчанні та роботі,Батьки цього дуже хочуть і вважають це правильним,NA,багаті люди,"Ні, повністю не погоджуюсь",NA,Важко відповісти,"Ні, повністю не погоджуюсь",Важко відповісти,Знайти збої,NA,NA,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",NA,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",NA,"Так, скоріше погоджуюсь",15,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки']","Так, скоріше вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Докладені зусилля при навчанні та роботі,Важко відповісти,Слід дозволяти багатьом таким людям переїжджати до України,NA,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, скоріше погоджуюсь",NA,NA,Рівнозначно,Важко відповісти,Важко відповісти,NA,NA,"Ні, скоріше не погоджуюсь",NA,NA,Нейтрально,NA,"Так, скоріше погоджуюсь",Значною мірою дозволяє,NA,"Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,NA,NA,NA,NA,NA
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти деяким таким людям,"люди, які несуть за щось відповідальність перед іншими","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Друзям,"Ні, скоріше не погоджуюсь",Важко відповісти,"Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь",Нещасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Значною мірою дозволяє,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити життя в Україні для всіх громадян,"Так, скоріше погоджуюсь",17,Важко відповісти,"Ні, скоріше  не вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Радше винних,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,Друзям,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Мешканцем села, району чи міста, в якому ти живеш",Задовольнити власні амбіції,Важко відповісти,18,Романтичні стосунки,"Ні, повністю не вистачає",дівчина
Вижницький ліцей Перша українська гімназія на Буковині,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,"люди, які несуть за щось відповідальність перед іншими",NA,NA,NA,Важко відповісти,"Ні, повністю не погоджуюсь",NA,NA,NA,Нікому,Важко відповісти,NA,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",NA,"Так, скоріше погоджуюсь",NA,NA,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",NA,NA,"Ні, повністю не погоджуюсь",14,Важко відповісти,"Так, скоріше вистачає",хлопець
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,NA,NA,NA,NA,NA,NA,NA,NA,Зовсім не дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",NA,NA,NA,NA,NA,NA,NA,Рівнозначно,NA,NA,NA,NA,NA,NA,NA,Дуже щасливий,NA,NA,NA,NA,NA,NA,Покращити власне матеріальне становище або просто красти,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти багатьом таким людям переїжджати до України,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Радше винних,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться",Друзям,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь","Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Нещасливий,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",NA,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки']","Так, скоріше вистачає",дівчина
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Слід дозволяти деяким таким людям,"інфлюенсери (блогери, актори, співаки, футболісти тощо)","Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)",Важко відповісти,NA,NA,Рівнозначно,"Навчатись за кордоном, лишитись там працювати і будувати там нове життя",Скоріш за все ситуація буде погіршуватись,Друзям,NA,"Так, повністю погоджуюсь",NA,NA,Дуже нещасливий,NA,"Так, повністю погоджуюсь",Зовсім не дозволяє,NA,"Ні, скоріше не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,NA,16,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Цькування в соцмережах', 'Конфлікти з членами родини', 'Дружні стосунки', 'Романтичні стосунки']","Ні, скоріше  не вистачає",NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись і працювати в Україні, будувати своє життя в Україні",Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,NA,NA,NA,NA,NA,NA,NA,Зовсім не дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться",NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,Важко відповісти,NA,Гарні зв’язки із впливовими людьми,Важко відповісти,NA,NA,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)",Важко відповісти,NA,NA,Винних,NA,Важко відповісти,NA,NA,NA,NA,NA,Дуже щасливий,NA,Важко відповісти,Зовсім не дозволяє,Важко відповісти,"Так, повністю погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,NA,18,"['Важко відповісти', 'Дружні стосунки', 'Конфлікти з членами родини', 'Шкідливі речовини', 'Цькування в соцмережах', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі', 'Романтичні стосунки']",NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",NA,NA,Важко відповісти,багаті люди,"Ні, повністю не погоджуюсь",NA,"Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Знайти збої,NA,Скоріш за все ситуація буде погіршуватись,Друзям,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже нещасливий,"Ні, повністю не погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином світу,NA,"Так, повністю погоджуюсь",16,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Романтичні стосунки']","Ні, скоріше  не вистачає",хлопець
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Важко відповісти,NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,Громадянином України,NA,NA,NA,NA,NA,NA
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,Важко відповісти,NA,NA,NA,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)",NA,"Ні, скоріше не погоджуюсь",Важко відповісти,NA,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном",Важко відповісти,Нікому,Важко відповісти,"Так, скоріше погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",NA,"Так, скоріше погоджуюсь",NA,Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,NA,"Так, скоріше погоджуюсь",15,"Проблеми зі здоров'ям (фізичне, психологічне)",Важко відповісти,хлопець
Вижницький опорний ліцей ім. Юрія Федьковича,Чернівецька область,Вижницький,2024-10-16,NA,NA,NA,NA,NA,NA,NA,"Місцева влада (голова ОТГ, місцева рада тощо)",NA,NA,NA,NA,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде погіршуватись,NA,NA,NA,NA,NA,NA,NA,NA,Дуже мало дозволяє,NA,NA,"Мешканцем села, району чи міста, в якому ти живеш",NA,NA,NA,NA,NA,NA
